Fecha,CodigoEmbalse,VertimientosEnergia,CodigoDuracion
2013-01-25,SALVAJIN,0,P1D
2013-01-25,SANLOREN,0,P1D
2013-01-25,GUAVIO,0,P1D
2013-01-25,MUNA,0,P1D
2013-01-25,AGREGADO_SIN,0,P1D
2013-01-25,CHUZA,0,P1D
2013-01-25,TRONERAS,0,P1D
2013-01-25,ESMERALD,0,P1D
2013-01-25,PRADO,0,P1D
2013-01-25,RIOGRAN2,0,P1D
2013-01-25,CALIMA1,0,P1D
2013-01-25,URRA1,0,P1D
2013-01-24,MIEL1,0,P1D
2013-01-24,RIOGRAN2,0,P1D
2013-01-24,PRADO,0,P1D
2013-01-24,URRA1,0,P1D
2013-01-24,ALTOANCH,0,P1D
2013-01-24,MUNA,0,P1D
2013-01-24,FLORIDA2,0,P1D
2013-01-24,SALVAJIN,0,P1D
2013-01-24,AGREGADO_SIN,0,P1D
2013-01-24,TRONERAS,0,P1D
2013-01-24,MIRAFLOR,0,P1D
2013-01-24,AGREGADO_BOGOTA,0,P1D
2013-01-24,PUNCHINA,0,P1D
2013-01-24,CALIMA1,0,P1D
2013-01-24,ESMERALD,0,P1D
2013-01-24,GUAVIO,0,P1D
2013-01-24,PENOL,0,P1D
2013-01-24,CHUZA,0,P1D
2013-01-24,PORCE3,0,P1D
2013-01-24,PLAYAS,0,P1D
2013-01-24,SANLOREN,0,P1D
2013-01-23,FLORIDA2,0,P1D
2013-01-23,PLAYAS,0,P1D
2013-01-23,RIOGRAN2,0,P1D
2013-01-23,ESMERALD,0,P1D
2013-01-23,PORCE3,0,P1D
2013-01-23,SANLOREN,0,P1D
2013-01-23,MUNA,0,P1D
2013-01-23,PRADO,0,P1D
2013-01-23,CALIMA1,0,P1D
2013-01-23,SALVAJIN,0,P1D
2013-01-23,GUAVIO,0,P1D
2013-01-23,MIEL1,0,P1D
2013-01-23,MIRAFLOR,0,P1D
2013-01-23,TRONERAS,0,P1D
2013-01-23,AGREGADO_BOGOTA,0,P1D
2013-01-23,CHUZA,0,P1D
