codigo_embalse,region,volumen_util,capacidad_util,volumen_total,VertimientosEnergia,fecha,vertimientos,duracion,etiqueta
PUNCHINA,Antioquia,44238800,81086719,52285000,0.0,2013-01-02,0.0,P1D,0
RIOGRAN2,Antioquia,329926300,489834037,499127500,0.0,2013-01-01,0.0,P1D,0
PLAYAS,Antioquia,94934000,98824879,132821100,0.0,2013-01-01,0.0,P1D,0
MIEL1,Caldas,189267700,235260926,216046400,0.0,2013-01-01,0.0,P1D,0
CHUZA,Oriente,459255100,1044556840,516800100,0.0,2013-03-03,0.0,P1D,0
AGREGADO_BOGOTA,Centro,2806257900,3992426064,2806257900,0.0,2013-03-03,0.0,P1D,0
PORCE3,Antioquia,41320200,108095201,66348000,0.0,2013-03-03,0.0,P1D,0
ALTOANCH,Valle,8909500,35110192,16653100,0.0,2013-03-02,0.0,P1D,0
PORCE2,Antioquia,28749100,133945086,95468600,0.0,2013-03-02,0.0,,0
ESMERALD,Oriente,436319400,1066299904,476488200,0.0,2013-02-28,0.0,P1D,0
SANLOREN,Antioquia,203376600,450404774,261078200,0.0,2013-02-28,0.0,P1D,0
TRONERAS,Antioquia,15571400,63534822,44184400,0.0,2013-02-28,0.0,P1D,0
TRONERAS,Antioquia,9198800,63534822,37811800,0.0,2013-02-27,0.0,P1D,0
AGREGADO_BOGOTA,Centro,2825040600,3992426064,2825040600,0.0,2013-02-27,0.0,P1D,0
PLAYAS,Antioquia,68397800,98503023,106161500,0.0,2013-02-26,0.0,P1D,0
URRA1,Caribe,87199700,192324924,134368300,0.0,2013-02-25,0.0,P1D,0
MUNA,Centro,50239100,56025812,51942400,0.0,2013-02-25,0.0,P1D,0
MIRAFLOR,Antioquia,79794500,304387239,95757900,0.0,2013-02-25,0.0,P1D,0
PORCE3,Antioquia,36404300,108095201,61432100,0.0,2013-02-25,0.0,P1D,0
ALTOANCH,Valle,10787100,35110192,18530700,0.0,2013-02-24,0.0,P1D,0
PLAYAS,Antioquia,68625000,98503023,106388700,0.0,2013-02-24,0.0,P1D,0
SALVAJIN,Valle,78320600,192899152,103860900,0.0,2013-02-23,0.0,P1D,0
MIRAFLOR,Antioquia,84934000,304387239,100897400,0.0,2013-02-23,0.0,P1D,0
PRADO,Centro,43138400,59469968,87576900,0.0,2013-02-23,0.0,P1D,0
SANLOREN,Antioquia,202036000,450404774,259737500,0.0,2013-02-22,0.0,P1D,0
GUAVIO,Oriente,854197800,2095258858,904647900,0.0,2013-02-22,0.0,P1D,0
URRA1,Caribe,92631700,192324924,139800400,0.0,2013-02-21,0.0,P1D,0
MIRAFLOR,Antioquia,92705400,304387239,108668800,0.0,2013-02-20,0.0,P1D,0
SANLOREN,Antioquia,200159000,450404774,257860600,0.0,2013-02-20,0.0,P1D,0
PUNCHINA,Antioquia,46485000,81086719,54531200,0.0,2013-02-20,0.0,P1D,0
ESMERALD,Oriente,547535400,1066299904,587704200,0.0,2013-02-19,0.0,P1D,0
PENOL,Antioquia,2287951100,4109791052,2568445300,0.0,2013-02-19,0.0,P1D,0
MUNA,Centro,49636000,56025812,51339300,0.0,2013-02-19,0.0,P1D,0
CHUZA,Oriente,508605700,1044556840,566150700,0.0,2013-02-17,0.0,P1D,0
PENOL,Antioquia,2344279400,4109791052,2624773600,0.0,2013-02-16,0.0,P1D,0
GUAVIO,Oriente,899389400,2095258858,949839500,0.0,2013-02-15,0.0,P1D,0
TRONERAS,Antioquia,17250600,63534822,45863600,0.0,2013-02-15,0.0,P1D,0
MIEL1,Caldas,166441100,235260926,193219800,0.0,2013-02-15,0.0,P1D,0
MUNA,Centro,48135200,56025812,49838600,0.0,2013-02-15,0.0,P1D,0
PLAYAS,Antioquia,83754000,98503023,121517700,13410.7206,2013-02-15,13410.72,P1D,1
PRADO,Centro,48871600,59469968,93310100,0.0,2013-02-14,0.0,P1D,0
URRA1,Caribe,103991300,192324924,151159900,0.0,2013-02-14,0.0,P1D,0
PENOL,Antioquia,2362587100,4109791052,2643081300,0.0,2013-02-13,0.0,P1D,0
AGREGADO_SIN,Colombia,8709774700,15174371537,9840794300,0.0,2013-02-12,0.0,P1D,0
SANLOREN,Antioquia,225014700,450404774,282716300,0.0,2013-02-12,0.0,P1D,0
MUNA,Centro,51146000,56025812,52849300,0.0,2013-02-12,0.0,P1D,0
PORCE2,Antioquia,42357400,133945086,109076800,0.0,2013-02-10,0.0,,0
URRA1,Caribe,109993600,192324924,157162300,0.0,2013-02-10,0.0,P1D,0
CALIMA1,Valle,132542800,222285936,185254300,0.0,2013-02-10,0.0,P1D,0
PORCE2,Antioquia,30059600,133945086,96779100,0.0,2013-02-09,0.0,,0
AGREGADO_BOGOTA,Centro,2893169200,3992426064,2893169200,0.0,2013-02-08,0.0,P1D,0
MUNA,Centro,49636000,56025812,51339300,0.0,2013-02-08,0.0,P1D,0
SANLOREN,Antioquia,228795300,450404774,286496900,0.0,2013-02-07,0.0,P1D,0
CHUZA,Oriente,549623800,1044556840,607168800,0.0,2013-02-07,0.0,P1D,0
AGREGADO_BOGOTA,Centro,2898537000,3992426064,2898537000,0.0,2013-02-07,0.0,P1D,0
PORCE3,Antioquia,25763900,108095201,50791700,0.0,2013-02-07,0.0,P1D,0
CHUZA,Oriente,553675000,1044556840,611220000,0.0,2013-02-06,0.0,P1D,0
PRADO,Centro,38502900,59469968,82941400,0.0,2013-02-05,0.0,P1D,0
RIOGRAN2,Antioquia,186998400,492452807,357104200,0.0,2013-02-05,0.0,P1D,0
SANLOREN,Antioquia,216380900,450404774,274082500,0.0,2013-02-04,0.0,P1D,0
MIRAFLOR,Antioquia,128621400,304387239,144584700,0.0,2013-02-04,0.0,P1D,0
MIRAFLOR,Antioquia,130249600,304387239,146212900,0.0,2013-02-03,0.0,P1D,0
PLAYAS,Antioquia,77823100,98503023,115586800,0.0,2013-02-03,0.0,P1D,0
MIRAFLOR,Antioquia,132782700,304387239,148746000,0.0,2013-02-02,0.0,P1D,0
AGREGADO_BOGOTA,Centro,2926669600,3992426064,2926669600,0.0,2013-02-02,0.0,P1D,0
PUNCHINA,Antioquia,14109800,81086719,22156000,0.0,2013-02-02,0.0,P1D,0
ALTOANCH,Valle,3288900,35110192,11032500,0.0,2013-02-02,0.0,P1D,0
CALIMA1,Valle,136398900,222285936,189110300,0.0,2013-02-02,0.0,P1D,0
AGREGADO_SIN,Colombia,9065772500,15174371537,10196792000,0.0,2013-02-01,0.0,P1D,0
ESMERALD,Oriente,662183600,1066299904,702352400,0.0,2013-02-01,0.0,P1D,0
SANLOREN,Antioquia,222467500,450404774,280169000,0.0,2013-02-01,0.0,P1D,0
SANLOREN,Antioquia,86074700,445298182,143122100,0.0,2013-04-03,0.0,P1D,0
PORCE2,Antioquia,23258300,133945086,89977700,0.0,2013-04-03,0.0,,0
RIOGRAN2,Antioquia,105575600,492452807,275681400,0.0,2013-04-02,0.0,P1D,0
MIEL1,Caldas,92111200,235260926,118889800,0.0,2013-04-02,0.0,P1D,0
MUNA,Centro,44558200,56025812,46261600,0.0,2013-04-01,0.0,P1D,0
BETANIA,Centro,92455700,140252238,178791700,0.0,2013-04-01,0.0,,0
MUNA,Centro,38803700,56025812,40507100,0.0,2013-03-31,0.0,P1D,0
PRADO,Centro,14838800,59469968,59277200,0.0,2013-03-31,0.0,P1D,0
MIEL1,Caldas,101743000,235260926,128521700,0.0,2013-03-31,0.0,P1D,0
CHUZA,Oriente,415244700,1044556840,472789700,0.0,2013-03-31,0.0,P1D,0
ESMERALD,Oriente,234105800,1066299904,274274600,0.0,2013-03-30,0.0,P1D,0
PORCE3,Antioquia,42513100,108095201,67540900,0.0,2013-03-30,0.0,P1D,0
AGREGADO_BOGOTA,Centro,2693621600,3992426064,2693621600,0.0,2013-03-30,0.0,P1D,0
MIEL1,Caldas,106907900,235260926,133686600,0.0,2013-03-30,0.0,P1D,0
GUAVIO,Oriente,594559700,2095258858,645009700,0.0,2013-03-30,0.0,P1D,0
PORCE2,Antioquia,28661900,133945086,95381400,0.0,2013-03-30,0.0,,0
TRONERAS,Antioquia,11327300,63534822,39940300,0.0,2013-03-29,0.0,P1D,0
AGREGADO_SIN,Colombia,6831860800,15169264945,7962226300,1263679.872,2013-03-29,1263679.87,P1D,1
ESMERALD,Oriente,245000700,1066299904,285169600,0.0,2013-03-28,0.0,P1D,0
ALTOANCH,Valle,20334700,35110192,28078300,0.0,2013-03-28,0.0,P1D,0
URRA1,Caribe,103104300,192324924,150273000,0.0,2013-03-27,0.0,P1D,0
BETANIA,Centro,95509400,140252238,181845400,0.0,2013-03-27,0.0,,0
CHUZA,Oriente,425418700,1044556840,482963700,0.0,2013-03-27,0.0,P1D,0
MIEL1,Caldas,117830300,235260926,144609000,0.0,2013-03-26,0.0,P1D,0
SANLOREN,Antioquia,121941400,445298182,178988800,0.0,2013-03-26,0.0,P1D,0
PORCE3,Antioquia,29200000,108095201,54227800,0.0,2013-03-26,0.0,P1D,0
ESMERALD,Oriente,263739100,1066299904,303907900,0.0,2013-03-26,0.0,P1D,0
TRONERAS,Antioquia,7679000,63534822,36292000,0.0,2013-03-25,0.0,P1D,0
MIEL1,Caldas,125678900,235260926,152457500,0.0,2013-03-24,0.0,P1D,0
BETANIA,Centro,108154900,140252238,194490900,0.0,2013-03-24,0.0,,0
AGREGADO_BOGOTA,Centro,2716423200,3992426064,2716423200,0.0,2013-03-24,0.0,P1D,0
MIRAFLOR,Antioquia,31381900,304387239,47345200,0.0,2013-03-24,0.0,P1D,0
MIEL1,Caldas,129680600,235260926,156459200,0.0,2013-03-23,0.0,P1D,0
PUNCHINA,Antioquia,33589800,81086719,41636000,0.0,2013-03-23,0.0,P1D,0
AGREGADO_BOGOTA,Centro,2721929100,3992426064,2721929100,0.0,2013-03-22,0.0,P1D,0
MUNA,Centro,49037500,56025812,50740900,0.0,2013-03-21,0.0,P1D,0
SALVAJIN,Valle,68040200,192899152,93580500,0.0,2013-03-20,0.0,P1D,0
ALTOANCH,Valle,28741000,35110192,36484700,0.0,2013-03-20,0.0,P1D,0
ESMERALD,Oriente,308373500,1066299904,348542300,0.0,2013-03-20,0.0,P1D,0
AGREGADO_BOGOTA,Centro,2725137800,3992426064,2725137800,0.0,2013-03-20,0.0,P1D,0
PORCE3,Antioquia,33274800,108095201,58302600,0.0,2013-03-20,0.0,P1D,0
PORCE2,Antioquia,15714600,133945086,82434000,0.0,2013-03-19,0.0,,0
URRA1,Caribe,108680900,192324924,155849600,0.0,2013-03-19,0.0,P1D,0
MUNA,Centro,47536800,56025812,49240100,0.0,2013-03-19,0.0,P1D,0
ALTOANCH,Valle,36079700,35110192,43823300,0.0,2013-03-17,0.0,P1D,0
PORCE3,Antioquia,22011800,108095201,47039600,0.0,2013-03-17,0.0,P1D,0
AGREGADO_BOGOTA,Centro,2739155800,3992426064,2739155800,0.0,2013-03-17,0.0,P1D,0
AGREGADO_BOGOTA,Centro,2743547600,3992426064,2743547600,0.0,2013-03-16,0.0,P1D,0
PORCE3,Antioquia,37122400,108095201,62150300,0.0,2013-03-16,0.0,P1D,0
ALTOANCH,Valle,29882300,35110192,37626000,0.0,2013-03-15,0.0,P1D,0
CALIMA1,Valle,105864900,222285936,158576300,0.0,2013-03-15,0.0,P1D,0
PORCE2,Antioquia,29883800,133945086,96603300,0.0,2013-03-14,0.0,,0
SANLOREN,Antioquia,165548700,445298182,222596100,0.0,2013-03-14,0.0,P1D,0
ESMERALD,Oriente,338059200,1066299904,378228000,0.0,2013-03-14,0.0,P1D,0
MIEL1,Caldas,124984200,235260926,151762800,0.0,2013-03-13,0.0,P1D,0
PLAYAS,Antioquia,81521100,98503023,119284800,0.0,2013-03-13,0.0,P1D,0
RIOGRAN2,Antioquia,67384900,492452807,237490700,0.0,2013-03-13,0.0,P1D,0
RIOGRAN2,Antioquia,74491400,492452807,244597200,0.0,2013-03-12,0.0,P1D,0
PLAYAS,Antioquia,86985900,98503023,124749600,0.0,2013-03-12,0.0,P1D,0
BETANIA,Centro,121678800,140252238,208014800,0.0,2013-03-11,0.0,,0
CALIMA1,Valle,113150900,222285936,165862300,0.0,2013-03-11,0.0,P1D,0
MIRAFLOR,Antioquia,52637700,304387239,68601000,0.0,2013-03-11,0.0,P1D,0
URRA1,Caribe,79759800,192324924,126928500,0.0,2013-03-11,0.0,P1D,0
MIRAFLOR,Antioquia,54724700,304387239,70688100,0.0,2013-03-10,0.0,P1D,0
SANLOREN,Antioquia,150233200,450404774,207934800,0.0,2013-03-10,0.0,P1D,0
CHUZA,Oriente,442912400,1044556840,500457400,0.0,2013-03-09,0.0,P1D,0
PLAYAS,Antioquia,86169100,98503023,123932800,0.0,2013-03-09,0.0,P1D,0
